school_id,member_id,member_group
M001,194042,ST
M001,769426,ST
M001,667,RT
M001,1072,RT
M001,2825,RT
M001,3078,RT
M001,9334,RT
M001,9552,PS
M001,13256,NT
M001,18569,RT
M001,20759,NT
M001,24463,RT
M001,28846,PS
M001,29031,RT
M001,31041,NP
M001,31391,RT
M001,34714,NT
M001,34936,NT
M001,37064,RT
M001,41691,NT
M001,43155,PS
M001,43378,NT
M001,44741,NT
M001,46398,PDO
M001,48778,PDO
M001,48798,RT
M001,49484,NP
M001,50443,RT
M001,52311,RT
M001,54300,RT
M001,55625,RT
M001,55714,RT
M001,56556,NT
M001,57982,RT
M001,64361,RT
M001,67817,NP
M001,67879,NT
M001,81514,NP
M001,85061,PDO
M001,86089,RT
M001,91681,RT
M001,92487,NP
M001,95244,NT
M001,100041,PDO
M001,100853,RT
M001,102553,PDO
M001,102686,RT
M001,102695,NT
M001,104399,RT
M001,104723,RT
M001,111554,PDO
M001,116132,NT
M001,118179,RT
M001,118967,RT
M001,121146,PDO
M001,124457,NP
M001,130841,NT
M001,131204,RT
M001,132411,RT
M001,135551,PDO
M001,140853,NT
M001,140989,NT
M001,143419,RT
M001,144317,PDO
M001,146454,NT
M001,146533,RT
M001,146586,NT
M001,149559,RT
M001,153889,RT
M001,154668,PDF
M001,155235,RT
M001,155931,RT
M001,157228,RT
M001,162430,RT
M001,176127,PDO
M001,179983,PDO
M001,183686,NT
M001,184551,PDO
M001,185874,PDO
M001,188471,NT
M001,194966,NT
M001,196108,NT
M001,201291,PS
M001,201410,NT
M001,358886,NT
M001,370225,NT
M001,372298,NT
M001,373141,PDO
M001,374058,PDO
M001,374602,PS
M001,375368,RT
M001,380214,NT
M001,382073,PDO
M001,383333,RT
M001,394990,NT
M001,396389,NT
M001,397904,RT
M001,400668,NT
M001,402795,PDO
M001,404867,PDO
M001,408629,NT
M001,415206,NT
M001,420116,NT
M001,423945,NT
M001,428885,NT
M001,429172,NT
M001,429595,NT
M001,430313,NP
M001,430800,NT
M001,431368,NT
M001,432923,PS
M001,433869,NT
M001,434000,NT
M001,436339,NT
M001,437721,PS
M001,437921,NT
M001,449670,PDO
M001,454727,PDO
M001,456349,NT
M001,460334,NT
M001,470591,PDF
M001,481423,HG
M001,496454,NT
M001,496697,NT
M001,505702,NP
M001,507261,NT
M001,509687,NP
M001,510418,NT
M001,511838,NT
M001,512468,NT
M001,516006,PDO
M001,524114,NP
M001,539026,PDO
M001,545255,PDO
M001,549369,PS
M001,549572,PDO
M001,551091,RT
M001,552765,NT
M001,574291,NT
M001,631788,NP
M001,654176,PDO
M001,664106,NT
M001,670410,NT
M001,674370,NP
M001,678328,NT
M001,684527,NT
M001,708794,NT
M001,710764,NP
M001,722685,NT
M001,725461,NT
M001,725585,NT
M001,725756,NT
M001,725862,NT
M001,727096,NT
M001,749696,NT
M001,766088,NP
M001,766309,NP
M001,771844,NP
M001,776722,NT
M001,782496,NP
M001,842649,NT
M001,851100,NP
M001,880906,NP
M001,888660,NP
M001,894265,NT
M001,906275,PDO
M001,914203,NT
M001,916557,NT
M001,917791,NT
M001,921744,NT
M001,923062,NP
M001,923087,NP
M001,926791,NT
M001,927202,NP
M001,937015,NT
M001,938641,NT
M001,939203,NT
M001,942877,PDO
M001,945391,NP
M001,945855,NP
M001,946392,NP
M001,947865,NP
M001,947951,NP
M001,954072,NP
M001,954136,NT
M001,955257,NP
M001,955838,PDO
M001,961183,NP
M001,982458,PDO
M001,982582,PDO
M001,983295,PS
M001,983759,PDO
M001,984558,PDO
M002,375,PDO
M002,2210,PS
M002,3621,PDO
M002,5729,PDO
M002,5985,RT
M002,9086,RT
M002,10401,RT
M002,11966,RT
M002,12883,RT
M002,14179,RT
M002,20926,NT
M002,21539,RT
M002,31644,RT
M002,34691,NT
M002,35679,RT
M002,36533,NT
M002,38547,RT
M002,39258,RT
M002,40876,RT
M002,43803,RT
M002,45987,RT
M002,52998,RT
M002,57915,NT
M002,64520,RT
M002,64915,NT
M002,67019,RT
M002,68121,RT
M002,72062,RT
M002,74943,NT
M002,76150,PDO
M002,76856,RT
M002,76891,NT
M002,77270,RT
M002,77707,RT
M002,79270,PDO
M002,83557,PDO
M002,88778,RT
M002,88991,RT
M002,90693,PDO
M002,90901,RT
M002,93994,RT
M002,97842,RT
M002,100757,RT
M002,100864,RT
M002,101071,RT
M002,103188,NP
M002,103335,NT
M002,105286,NP
M002,112917,RT
M002,113341,RT
M002,114413,PDO
M002,115086,RT
M002,117496,RT
M002,117979,RT
M002,123508,RT
M002,124437,NP
M002,133131,PDO
M002,133155,RT
M002,135106,RT
M002,138900,RT
M002,138907,RT
M002,140857,RT
M002,142479,NT
M002,144925,NT
M002,145789,RT
M002,146069,RT
M002,146343,PDO
M002,152334,RT
M002,152916,RT
M002,154916,RT
M002,155054,RT
M002,158388,NT
M002,158960,PDO
M002,159812,NP
M002,165678,
M002,171360,NT
M002,171380,NT
M002,176010,PDO
M002,178649,RT
M002,178773,NP
M002,179013,PDO
M002,185753,PDO
M002,188267,PDF
M002,195326,NT
M002,198494,PDF
M002,198570,PDO
M002,201077,PDO
M002,204557,NP
M002,204565,NP
M002,211942,PS
M002,212692,NT
M002,213622,PS
M002,213650,PS
M002,243314,
M002,245895,
M002,369571,NT
M002,370413,NT
M002,370480,PDF
M002,379335,RT
M002,380259,PS
M002,384553,NP
M002,387633,PDF
M002,391352,NT
M002,401833,PDO
M002,402522,NT
M002,406865,NT
M002,407664,NT
M002,409297,PDO
M002,425897,NT
M002,427252,NT
M002,428101,NT
